Name,Platform,Token utility,Technicality,Token distributions,Use_of_funds,Lockup,Vesting,Risk,Governance,team_bio,team_tech,team_market,team_size,advisor_size,advisor_tech,Basics ,Application
Bankera,0,1,0,1,0,0,0,0,0,3,2,2,13,0,0,3,2
Tezos,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2
Centrality,0,2,1,1,0,1,0,1,0,3,2,2,14,0,0,0,NA
Dragon Coins,0,1,1,1,1,0,0,0,1,3,1,0,5,12,2,1,2
EOS,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Filecoin [Futures],,,,,,,,,,,,,,,,3,4
QASH,,,,,,,,,,,,,,,,1,2
Envion,0,2,2,1,1,0,0,0,1,3,2,1,6,0,0,2,2
LIQUID,1,2,1,1,1,0,0,1,1,3,1,1,9,0,0,1,2
Orbs,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,NA
Polkadot,1,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,NA
SIRIN LABS Token,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,3,4
Status,0,2,1,1,1,1,1,0,1,2,0,0,12,10,1,3,4
The Bancor Protocol,0,1,0,0,0,0,0,0,0,2,0,0,6,0,0,3,2
0X,,,,,,,,,,,,,,,,3,2
4NEW.txt,0,1,0,,,,,,,,,,,,,2,3
ADAMANT Messenger,1,2,1,1,1,0,0,0,0,3,1,0,7,0,0,3,4
adbank,0,2,0,,,,,,,,,,,,,3,4
Adex,0,2,1,,,,,,,,,,,,,3,4
AdHive,0,1,1,,,,,,,,,,,,,3,4
Adshares,0,1,1,,,,,,,,,,,,,3,4
AdToken,0,1,0,,,,,,,,,,,,,3,4
aelf,0,0,1,,,,,,,,,,,,,0,NA
Agrello,1,2,2,,,,,,,,,,,,,3,1
AidCoin,0,0,0,,,,,,,,,,,,,1,1
AirSwap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
Airtoken,0,1,0,,,,,,,,,,,,,3,4
Alphacat,0,1,0,1,1,1,0,1,1,3,1,0,7,17,0,3,3
Ambrosus,,,,,,,,,,,,,,,,3,1
ALTEUM,1,2,1,,,,,,,,,,,,,1,2
Apex,,,,,,,,,,,,,,,,3,4
AMLT Token,1,2,1,0,0,0,0,0,0,3,2,0,6,3,0,1,2
AppCoins,,,,,,,,,,,,,,,,1,3
Aragon,,,,,,,,,,,,,,,,1,4
Arcblock,,,,,,,,,,,,,,,,0,NA
Aventus,,,,,,,,,,,,,,,,1,3
ATBCoin,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,NA
Axpire,0,0,1,1,0,0,0,1,0,3,2,2,15,11,1,3,3
BABB,,,,,,,,,,,,,,,,1,2
Banca,0,1,1,,,,,,,,,,,,,3,3
BankEx,,,,,,,,,,,,,,,,2,2
Basic Attention Token,0,1,1,,,,,,,,,,,,,3,4
Bee Token,0,0,1,,,,,,,,,,,,,1,2
BETEX,0,1,0,,,,,,,,,,,,,3,2
Bezant,0,2,0,,,,,,,,,,,,,1,3
BFToken,0,0,0,,,,,,,,,,,,,3,2
Biocoin,0,1,1,1,0,0,0,0,0,3,2,1,9,5,1,1,3
Bitbounce,0,1,0,,,,,,,,,,,,,1,4
Bitclave,0,2,1,,,,,,,,,,,,,1,4
BITCOINUS,0,1,1,,,,,,,,,,,,,1,NA
BitDegree,0,2,1,,,,,,,,,,,,,3,3
BitRent,0,1,0,,,,,,,,,,,,,3,4
Bitxoxo,0,0,0,1,1,1,1,1,0,3,2,1,10,9,1,3,2
Blackmoon,0,1,1,,,,,,,,,,,,,3,2
Block Array,0,1,0,,,,,,,,,,,,,3,4
Blockport,0,1,1,,,,,,,,,,,,,1,NA
Blockstack,1,2,2,,,,,,,,,,,,,3,NA
Bloom,,,,,,,,,,,,,,,,3,1
BlockV,0,1,1,1,1,1,1,0,0,3,2,2,4,9,1,0,3
Bluzelle,,,,,,,,,,,,,,,,3,4
Bodhi,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,3,3
Boscoin,,,,,,,,,,,,,,,,1,NA
Bread,0,0,0,0,0,0,0,0,0,3,2,2,14,6,0,1,NA
Bridge Protocol,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,3,1
Budbo,,,,,,,,,,,,,,,,1,3
Car Vertical,,,,,,,,,,,,,,,,3,3
Cashaa,,,,,,,,,,,,,,,,1,2
CEDEX,0,1,0,1,1,0,1,1,0,3,1,1,14,8,1,2,3
Celsius,0,1,0,,,,,,,,,,,,,3,2
Centra,0,1,0,,,,,,,,,,,,,1,2
CFun,0,2,1,,,,,,,,,,,,,1,4
ChainLink,0,2,2,,,,,,,,,,,,,3,4
ChainTrade,0,2,0,,,,,,,,,,,,,1,2
Change,0,0,0,,,,,,,,,,,,,1,NA
Cindicator,0,1,2,,,,,,,,,,,,,3,2
Civic,1,2,1,,,,,,,,,,,,,3,1
Cofound,0,0,0,,,,,,,,,,,,,3,NA
Coinlancer,0,1,0,,,,,,,,,,,,,1,3
Colu Local Network,0,0,1,,,,,,,,,,,,,1,NA
COMSA [ETH],1,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,NA
Cool Cousin,0,1,1,,,,,,,,,,,,,1,3
Copytrack,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1
Cosmochain,0,1,1,,,,,,,,,,,,,1,4
Cosmos,1,2,1,,,,,,,,,,,,,1,NA
Covesting,0,1,0,,,,,,,,,,,,,3,2
CPChain,0,0,1,,,,,,,,,,,,,0,4
Crafty,0,1,0,,,,,,,,,,,,,1,4
Credits,1,0,1,,,,,,,,,,,,,1,NA
Crypterium,0,1,0,,,,,,,,,,,,,1,2
Crypto20,0,1,2,,,,,,,,,,,,,2,2
Cryptopay,,,,,,,,,,,,,,,,1,2
